gene_id	ERR883767_1	ERR883768_1	ERR883769_1	ERR883770_1	ERR883771_1	ERR883772_1
LOC100649911	102	169	142	222	98	156
LOC100648154	119	106	135	157	62	140
LOC100648043	19	23	18	35	30	21
LOC100647922	22	26	58	41	25	20
LOC100647800	41	30	166	26	16	21
LOC110120351	0	0	0	3	1	1
LOC100647405	2618	2399	3189	3279	2415	2403
LOC105666407	7	5	8	29	15	21
LOC100649793	3835	2969	8313	8826	9747	9512
LOC100647601	4766	3549	10358	9849	10889	10509
LOC100647285	2801	1260	6387	5300	7072	7276
LOC100647171	461	414	324	103	51	92
LOC100646573	54	58	43	67	36	51
LOC100646815	572	489	516	589	399	392
LOC100646694	1898	1620	2715	12755	13543	7960
LOC100646937	258	216	299	194	149	180
LOC100647053	145	120	168	122	137	154
LOC105666289	160	119	222	606	352	569
LOC100649679	615	656	672	752	508	647
LOC100649559	4	3	3	4	2	2
LOC100649434	5223	4886	4802	1815	818	1522
LOC100646214	772	806	763	1005	606	594
LOC100646091	526	597	499	865	528	554
LOC100645973	787	721	713	475	455	384
LOC100645666	3675	3472	3869	1945	1328	1163
LOC100645787	2065	1948	2072	1525	1229	1291
LOC100645550	2266	1992	1942	1019	797	822
LOC100649317	1126	1040	1102	755	559	593
LOC100645431	0	1	0	15	19	14
LOC105666164	213	172	229	205	134	147
LOC100645230	2665	2413	1960	236	133	193
LOC100645110	955	951	825	419	285	329
LOC100644991	707	721	727	824	558	620
LOC100644871	2520	2077	2971	11834	9159	8212
LOC100644046	1497	1299	1677	3075	2341	2750
LOC100644628	177	155	190	188	125	201
LOC100649198	102	83	133	134	88	113
LOC100644236	2835	2668	3318	4757	3851	3119
LOC110119517	0	1	1	2	0	4
LOC100644746	1	2	3	9	5	5
LOC100643837	515	412	466	230	226	170
LOC100644354	2073	1695	2433	4635	3492	3717
LOC100643393	323	258	281	105	60	97
LOC100643270	534	478	467	266	172	195
LOC100643027	575	664	700	823	522	607
LOC110120352	38	30	26	20	16	16
LOC100643514	1273	1067	1298	2918	1478	1619
LOC100643147	1551	1292	1334	459	263	482
LOC100642910	1838	1854	2054	1382	1270	973
LOC100642790	797	804	781	536	415	358
LOC100642672	1423	1069	1445	920	680	611
LOC100642550	563	499	442	265	168	233
LOC100642432	634	525	568	308	230	173
LOC100642312	954	860	956	414	310	279
LOC100648963	276	287	267	214	120	207
LOC100648847	270	260	276	116	74	123
LOC100642791	1023	970	1172	1304	946	997
LOC100648733	144	128	138	186	101	87
LOC100652148	4371	4096	4151	5834	3233	1649
LOC100642551	957	980	1184	1592	1148	994
LOC100642673	2653	2422	2960	1718	1407	1665
LOC100643028	4335	3637	4979	3670	1707	3212
LOC100642313	1870	1651	1868	1245	1015	805
LOC100642433	1000	1017	889	344	221	245
LOC100642911	1209	1185	965	716	439	444
LOC100648617	79	107	94	137	87	78
LOC100642190	697	637	723	788	647	563
LOC100652027	2968	2937	2595	2494	1450	1541
LOC100651827	233	235	250	217	80	101
LOC100651709	1326	1180	1233	925	746	971
LOC100651591	323	295	322	193	122	122
LOC110119538	27	21	23	8	10	3
LOC100651474	31	35	21	110	70	101
LOC100648500	1396	1272	1579	2976	1631	1529
LOC105667172	60	61	41	89	149	310
LOC100651235	502	433	592	1429	906	886
LOC100648385	1670	1713	1275	855	507	559
LOC100651113	8287	7732	10412	10532	9556	7457
LOC100650872	2549	2478	2387	2283	1411	1844
LOC100650754	1262	1295	1705	2084	1339	1345
LOC100650629	687	683	833	501	388	422
LOC105666912	337	332	401	421	361	246
LOC100650511	758	709	747	569	433	494
LOC100650388	251	247	191	176	140	145
LOC100650265	694	656	789	727	557	443
LOC100650139	1182	1168	1170	1096	590	597
LOC100650023	263	316	324	376	202	325
LOC100648268	0	1	0	0	0	0
LOC105667089	237	192	313	585	317	751
LOC100645974	439	393	359	21	20	7
LOC100645858	101	112	128	4	0	1
LOC100645738	1219	1023	684	2	2	1
LOC100645616	1045	819	609	2	2	0
LOC100645512	1032	868	662	49	36	17
LOC100645399	188	159	44	1	0	0
LOC100645277	285	245	231	5	2	2
LOC100645155	413	390	374	250	208	212
LOC100644951	4908	5017	7160	8464	6360	7535
LOC100644834	15	25	25	93	54	94
LOC100646647	0	0	2	0	1	0
LOC100644709	791	826	779	688	331	466
LOC100646400	153	148	187	331	224	297
LOC100644590	7529	7314	9096	12404	9483	9953
LOC100644472	1615	1493	1942	2156	1172	1677
LOC100644279	170	159	230	204	149	189
LOC100644159	4251	3687	5095	20978	19425	14626
LOC100644047	759	644	487	86	48	77
LOC100643838	6	12	12	854	266	1481
LOC100643719	2824	2430	2268	778	517	682
LOC100643599	858	922	964	911	518	864
LOC105666614	471	358	476	651	347	568
LOC105666622	165	198	198	248	142	167
LOC100643394	460	462	572	882	527	502
LOC100643148	7019	6093	8020	7715	6407	5776
LOC100643271	2143	2008	1736	368	228	210
LOC105666565	9914	8898	8811	1448	856	1582
LOC100646280	71	49	61	54	70	43
LOC100648081	80	50	106	260	122	376
LOC100647954	3	1	3	19	9	22
LOC100649722	1	3	2	184	52	1386
LOC100648195	1071	949	1658	2147	1430	1556
LOC100650672	39	34	51	596	220	1439
LOC100650798	2208	2146	2187	2444	1895	1837
TRNAI-AAU	0	0	0	1	0	0
LOC110119319	2	4	1	1	7	1
LOC100650914	75	96	137	23	21	48
LOC110119390	13	10	8	9	10	22
LOC100648310	3102	3967	6444	8336	5446	6385
LOC110119387	0	0	0	0	0	0
LOC105665841	3441	4666	6416	8194	6251	7242
LOC110119386	5236	6086	6607	6372	6995	6384
LOC100651029	81	77	99	425	255	414
LOC100651394	96	91	280	2717	1182	3837
LOC100651150	773	745	904	1142	905	977
LOC100651273	1690	1683	1794	1184	820	865
LOC100651512	90	81	79	56	43	81
LOC100652102	712	626	901	672	442	688
LOC100651629	464	462	411	527	451	367
LOC100651864	303	254	238	133	100	174
LOC100651980	677	629	707	624	454	525
LOC100651744	1187	968	1026	620	484	303
LOC100652219	653	599	661	622	418	408
LOC100642191	849	951	980	1314	759	893
LOC100642552	7263	6410	8597	7070	3515	6024
LOC100642434	432	413	484	709	463	447
LOC100642314	694	657	667	522	393	309
LOC100642793	1236	1011	1336	835	581	956
LOC100642674	2312	2604	2915	3977	2750	3603
LOC100642913	5719	4760	5743	3972	3889	2936
LOC105667131	19	30	24	25	11	17
LOC100646767	512	449	555	767	620	605
LOC100646890	189	168	220	326	226	251
LOC100647008	971	918	920	692	460	498
LOC100647130	2693	2402	2530	2766	1732	2282
LOC100647248	1178	1077	934	587	510	448
LOC100648542	53	68	75	150	81	96
LOC100647365	1705	1549	1236	761	451	602
LOC100647487	220	189	252	284	163	213
LOC100648663	5	10	1	10	4	19
LOC100647602	149	133	152	187	110	186
LOC100647714	231	216	297	139	114	70
LOC100647832	579	621	797	698	497	641
LOC110120331	5	1	1	3	2	3
LOC100647952	973	860	973	705	401	540
LOC100648155	1472	1317	1261	458	268	290
LOC100648269	312	321	294	213	146	190
LOC100648386	822	668	656	698	520	479
LOC100648501	767	556	771	48	25	38
LOC100648734	1404	1268	1076	306	289	205
LOC100648848	605	555	620	421	358	376
LOC100648964	340	339	389	289	205	193
LOC100648618	376	264	409	365	197	602
LOC100649162	146	148	227	142	54	154
LOC100649283	807	640	700	596	397	601
LOC110119447	2	0	0	0	0	0
LOC100649609	1145	1093	1324	687	449	564
LOC100649485	227	255	315	88	42	89
LOC100649721	490	434	585	551	367	406
LOC100651310	621	549	562	334	229	281
LOC105667166	351	287	346	279	190	227
LOC105665635	961	845	885	1087	715	1063
LOC100648777	295	274	308	448	274	380
